Sample,REC31812,REC31828,40592-V08H,40021-V08H,40600-V08H,40601-V08H,40607-V08H
COVID-101,3589.5,1047.5,1628,5218,6933,9472,7644.5
COVID-112,1854,4622.5,1683,12536,9534.5,21423,31200
COVID-123,1989,2092,723,4110.5,2651.5,8134,7251
COVID-211,1337,746.5,885,11994,4043.5,10007,4707
COVID-222,2365,1343.5,3480.5,6685,5503,20558,16014
COVID-233,1659.5,551.5,1430.5,1560,4842,9543,6440.5
COVID-245,2148,2162,2331,16488,3253,10569.5,11969.5
COVID-256,4022.5,1195,2153.5,9306,2600,11159,8912
COVID-102,1798,4806,2685,7624,4252,2910,12350
COVID-113,2746,1702,1229,6178.5,3203,6636,11752
COVID-201,881,282,387,8686,926,4560,7279
COVID-212,2354,1213,1222,7162,3829,5037,10406
COVID-223,1310,1742,614.5,6583,2870,7531,16179
COVID-234,4101,2731,1362.5,30888.5,6896,10225,17147
COVID-246,2366,1385.5,1232.5,11169,4225,21861,18978.5
COVID-257,3297,1821,2569,5983,2646,3053,20662
COVID-103,1763.5,1672,2777,19071,3124,5102.5,11863
COVID-114,2690.5,663,1154,6362.5,2684.5,8765,8811
COVID-202,1403,1200,1611,18425,4699,9578.5,18079
COVID-213,1254,524.5,1031,10097,1784,8534,16464.5
COVID-224,960,609,1625,21192,14228.5,29701,15778
COVID-235,2464,1550,3089,25539,4323.5,8160,13904
COVID-247,3574.5,796,1134.5,3948.5,10406,20454,12419
COVID-258,3705,1116,1342.5,2870.5,2228,3613,14898.5
COVID-104,1383.5,1178,1141.5,3974,2047,4137,18609
COVID-115,8837,1715,3073.5,7958,2462.5,5037.5,9759.5
COVID-203,1953,3064,2060,9460,4131.5,10170.5,13309.5
COVID-214,2263,2242,1130,8075.5,4058,19785,15683.5
COVID-225,3637,1556.5,1618,4808,2924,2858,13442
COVID-236,1838.5,1748.5,7208,6673,4099,12715.5,9815.5
COVID-248,3623,6625,2219,9840.5,7795,9701,20834.5
COVID-259,3281,1698,1171.5,12147,3080,10182,18794
COVID-105,1492,3195,627,8546,3162,5419,20096.5
COVID-116,552.5,1284.5,579,17929.5,716,2691,7275
COVID-204,4370.5,1940,1685,10932,5084,16589,10557
COVID-215,6819.5,782,685,8863.5,3049.5,12645,19094
COVID-226,4104,2787,3522,20627.5,7985.5,11217.5,14824
COVID-237,1963,2319,1585,4721,11240,23209.5,10215
COVID-249,2480,1341,1911,5436.5,972,1822,17514.5
COVID-260,2287.5,2862,1418,7917,1385,15087.5,24144
COVID-106,2234,797,902.5,13293,3497,10119,13924
COVID-117,321,210,206,334,213.5,534,1817.5
